crew_id,name,born_year,death_year,profession,known_for
nm0438029,Raj Kanwar,1961,2012,director|writer|producer,tt0444840|tt0272062|tt0116690|tt0286724
nm0438904,B.K. Karanjia,1919,2012,writer,tt0095857
nm0439784,Girish Karnad,1938,2019,actor|writer|director,tt0076089|tt0078030|tt0075747|tt2016894
nm0440605,D.D. Kashyap,1910,1988,director|writer|producer,tt0139303|tt0232624|tt0232066|tt0231215
nm0442390,Arun Kaul,1933,2007,director|miscellaneous|writer,tt0091256|tt0068531|tt0097045|tt0246567
nm0442391,Awtar Krishna Kaul,1939,1974,director|writer|assistant_director,tt0065484|tt0071083
nm0442395,Mahesh Kaul,1911,1972,director|producer|writer,tt0062897|tt0176074|tt0232759|tt0231817
nm0451211,Feroz Khan,1939,2009,actor|producer|director,tt0413984|tt0175450|tt0210920|tt0366630
nm0451846,Raj Khosla,1925,1991,director|writer|producer,tt0073569|tt0231150|tt0055949|tt0151466
nm0464880,Dada Kondke,1932,1998,director|actor|writer,tt0232264|tt0231771|tt0232783|tt0231140
nm0471424,Rajendra Krishan,1919,1987,music_department|writer|soundtrack,tt0048410|tt0059354|tt0137349|tt0259494
nm0471443,Manmohan Krishna,1922,1990,actor|director|writer,tt0052736|tt0150251|tt0239452|tt0374033
nm0474806,Gulshan Kumar,1951,1997,producer|actor|miscellaneous,tt0101733|tt0439464|tt1156148|tt6836936
nm0474822,Kishore Kumar,1929,1987,music_department|soundtrack|actor,tt0084385|tt0065416|tt0077451|tt0073707
nm0474839,Mohan Kumar,1934,2017,writer|producer|director,tt0233202|tt0053566|tt0178192|tt0233182
nm0474850,Pradeep Kumar,1925,2001,actor|producer|director,tt0057555|tt0242636|tt0060319|tt0129370
nm0482425,K.B. Lall,1911,1975,director|writer|producer,tt0141534|tt0176101|tt0139416|tt0134701
nm0492854,Josephine Lawrence,1892,1978,writer,tt0453284|tt0458850|tt0029192|tt6315308
nm0493923,Kalpana Lajmi,1954,2018,director|writer|producer,tt0233635|tt0273164|tt0454429|tt0108001
nm0494797,William DeLane Lea,1900,1964,writer|sound_department|miscellaneous,tt0044769|tt0035017|tt0050504
nm0495270,Nolan Leary,1889,1987,actor|writer|miscellaneous,tt0054195|tt0038129|tt0029192|tt0037378
nm0517839,A.K. Lohithadas,1955,2009,writer|director|actor,tt0393139|tt0406892|tt0396684|tt0237820
nm0534848,G.D. Madgulkar,1919,1977,writer|actor|music_department,tt0050322|tt0252079|tt0250448|tt0242310
nm0534864,D.N. Madhok,1902,1982,director|writer|music_department,tt0134837|tt0037213|tt0129422|tt0214188
nm0536818,Balu Mahendra,1939,2014,director|cinematographer|writer,tt0235858|tt0235522|tt0187318|tt0235891
nm0538297,Phani Majumdar,1911,1994,director|writer|assistant_director,tt0235963|tt0236554|tt0236281|tt0236210
nm0539491,Harmesh Malhotra,1936,2005,director|producer|writer,tt0237021|tt0237437|tt0237564|tt0104404
nm0539599,Verma Malik,1925,2009,music_department|soundtrack|writer,tt0246848|tt0149814|tt3322420|tt0338013
nm0544153,Saadat Hassan Manto,1912,1955,writer|actor|music_department,tt0331297|tt0308883|tt0137958|tt0237033
nm0557688,John Masters,1914,1983,writer,tt0049007|tt0925316|tt0094979
nm0560943,Guy de Maupassant,1850,1893,writer,tt0060675|tt0953485|tt0019589|tt0154295
nm0564970,Leo McCarey,1896,1969,director|writer|producer,tt0036872|tt0028597|tt0050105|tt0031593
nm0576454,Mehmood,1932,2004,actor|music_department|director,tt0071730|tt0109117|tt0068305|tt0327648
nm0576488,Prakash Mehra,1939,2009,director|music_department|producer,tt0239452|tt0239654|tt0105897|tt0082644
